,train,val,test
89,TCGA-DX-A6BK-01Z-00-DX2.561B10AB-522B-4B2F-BE4B-21AB7A08E7E8,,
90,TCGA-WK-A8XQ-01Z-00-DX2.64263F00-71B0-4099-BF60-DFB5391E05EA,,
91,737695_588 20_4,,
92,TCGA-DX-A7EI-01Z-00-DX1.75E3E0DF-9291-4830-A926-EB1EA7327916,,
93,4567206215_1290_20_3,,
94,TCGA-DX-AB2F-01Z-00-DX1.2F9C07B1-77D6-466B-B09E-5FCD01458777,,
95,TCGA-DX-AB3A-01Z-00-DX2.27E3160A-4CA5-4E3B-AF99-157013591E12,,
96,TCGA-DX-A2J1-01Z-00-DX1.51522171-EBCA-4A16-8F39-E794211F8B94,,
97,TCGA-DX-AB37-01Z-00-DX3.AE53E163-C3F2-4BF1-8A2E-232842C590F1,,
98,746726_6799 20 - 2020-07-29 23.11.03,,
99,748804_6555 20 -2,,
100,TCGA-DX-AB35-01Z-00-DX3.B35C6035-4ED2-4E2F-A915-C59E1ACDE65D,,
101,C3L-05023-22,,
102,TCGA-IF-A3RQ-01Z-00-DX1.674A974D-E775-48C1-B4F1-4671C4D1EF33,,
103,745521_3960_20_12,,
104,TCGA-DX-A3LT-01Z-00-DX1.D4A948E5-6BDC-458B-BB69-ABE5742F148D,,
105,TCGA-DX-AB35-01Z-00-DX2.2B402924-E169-4EB3-AF9F-4A6843547192,,
106,TCGA-DX-AB37-01Z-00-DX1.B778136D-9699-48FA-91F2-16BD16569571,,
107,TCGA-FX-A3NK-01Z-00-DX1.66390C76-EBAB-4904-8BA7-A0E66228B8A5,,
108,TCGA-DX-A7EI-01Z-00-DX3.D0068AA2-E10C-4C92-8836-F84F395AD744,,
109,TCGA-SG-A6Z7-01Z-00-DX1.1C500200-81CA-46DB-8D97-EC94247B8D83,,
110,TCGA-DX-A23V-01Z-00-DX1.E7E5DAB8-EB00-44A2-91F1-2C660F624D1E,,
111,TCGA-DX-A2J0-01Z-00-DX1.D967A85F-4E39-4D18-A548-0767A7A761CE,,
112,751380_7495 20,,
113,732812_LP_3_587 20_12 ,,
114,737695_588 20_6,,
115,TCGA-DX-A7EI-01Z-00-DX2.7CAF2DEA-34A2-4841-94BE-C4B814D479CD,,
116,TCGA-DX-AB2F-01Z-00-DX2.860CF225-64CE-42E2-A6FF-E405E44D0439,,
117,TCGA-DX-A6BE-01Z-00-DX2.A799F2A2-3BB8-4CD2-9150-43B6B35474E4,,
118,742405_1629_20_1,,
119,TCGA-DX-A6BE-01Z-00-DX1.67FF80A5-340F-4709-8976-A2A1FCF16BA9,,
120,TCGA-DX-A23Z-01Z-00-DX1.BA0DD1F3-2339-499D-B686-5531CA73E462,,
121,TCGA-DX-AB2G-01Z-00-DX3.F55EEE13-A4AA-4E04-9F7F-09922ABEECF1,,
122,742405_1629 20_12,,
123,745521_3960_20_4,,
124,TCGA-QQ-A5VA-01Z-00-DX1.64E25D9A-BB2A-44DA-9C58-08E1FCA8F29F,,
125,C3L-05507-28,,
126,737695_588 20_3,,
127,732812_LP_3_587 20_13 ,,
128,745521_3960_20_6,,
129,TCGA-DX-A3M2-01Z-00-DX1.B2806534-80E2-488B-852D-F87D8F6B0997,,
130,732812_LP_3_587 20_5 ,,
131,TCGA-DX-AB37-01Z-00-DX2.47D61CC1-F1E9-4423-9F64-6BAE8EC6735A,,
132,737695_588 20,,
133,TCGA-DX-A6BH-01Z-00-DX2.8BF0E385-0450-4D17-B5EC-EE499DA5499C,,
134,TCGA-DX-A1KX-01Z-00-DX1.334B2EEA-33C8-40A5-A19F-61D0087C978E,,
135,TCGA-DX-AB2H-01Z-00-DX1.F595B9EE-062B-41CA-B96C-58E8F11963AF,,
136,713276_6132 20 - 2020-07-25 18.05.29,,
137,4567206215_1290_20_2,,
138,TCGA-DX-A23R-01Z-00-DX1.4019729D-79B3-4B0E-8C5B-02938F5C61D2,,
139,742405_1629 20_11,,
140,TCGA-DX-A1L2-01Z-00-DX1.CEAD4A86-AFFE-4A9B-A7B8-07791459091B,,
141,TCGA-DX-A1KZ-01Z-00-DX1.0F3D83DA-B9C9-4F6F-884B-FF2C949FB0F2,,
142,TCGA-DX-A1KW-01Z-00-DX1.D3379503-58B8-4D5D-84DD-C1FF5418165E,,
143,TCGA-WK-A8XQ-01Z-00-DX1.9567D1AA-A6BE-4642-9E4A-FA10F5CE189B,,
144,748804_6555 20,,
145,732812_LP_3_587 20_7 ,,
146,745521_3960_20_8,,
147,TCGA-DX-A1L3-01Z-00-DX1.E8818734-E8DA-40F7-9E14-5806D4691E96,,
148,TCGA-DX-A2IZ-01Z-00-DX1.21447C40-8521-4E40-90C6-D1A937B64190,,
149,732812_LP_3_587 20_2 ,,
150,TCGA-DX-A6BK-01Z-00-DX1.2667714B-C1C9-4204-B04A-98861834E65E,,
151,TCGA-DX-A48N-01Z-00-DX1.BFC9AF5D-3E7E-431E-B6CC-99F98FB4873A,,
152,TCGA-DX-A3M1-01Z-00-DX1.89418A40-925B-49FA-8A6D-C67DF76DBD6F,,
153,TCGA-DX-A1KU-01Z-00-DX1.3A094B6B-CF4D-4012-841A-3B888E09327D,,
154,TCGA-DX-A23Y-01Z-00-DX1.1D3F8195-645A-49D4-9044-4261FEFD7EF0,,
155,TCGA-DX-AB2H-01Z-00-DX4.D7CB742A-A0B8-4454-A291-85F8D9A8C21E,,
156,TCGA-DX-A23T-01Z-00-DX1.AEFA32EC-6E45-471F-A0F9-D891F1B25A22,,
157,TCGA-DX-A3U5-01Z-00-DX1.E786E6CE-C1C4-4F79-8304-C59BC9ADD0AD,,
158,745521_3960_20_2,,
159,TCGA-3B-A9HO-01Z-00-DX1.92599E15-92BB-4C57-80AB-B5820DE98B7B,,
160,TCGA-WK-A8XQ-01Z-00-DX3.224831F2-0BF9-4055-B5FA-D08B88B29962,,
161,742405_1629 20_16,,
162,559279_6998 20 - 2020-08-04 18.55.08,,
163,742405_1629 20_6,,
164,732812_LP_3_587 20_9 ,,
165,742405_1629 20_7,,
166,732812_LP_3_587 20_11 ,,
167,748804_6555 20_3,,
168,C3L-05852-21,,
169,742405_1629 20_18,,
170,732812_LP_3_587 20_8 ,,
171,TCGA-WK-A8XO-01Z-00-DX1.B5C49FBF-EEF4-40E2-8C7C-4794E6846B65,,
172,742405_1629 20_4,,
173,TCGA-DX-A6BF-01Z-00-DX2.D5380C86-471E-41CE-B61E-5117794EBCD6,,
174,732812_LP_3_587 20_3 ,,
175,TCGA-DX-AB2G-01Z-00-DX1.3AB46986-3D64-4395-85CB-CFFDA2024D9A,,
176,TCGA-DX-A6BG-01Z-00-DX1.64FE42B8-DE0D-4C50-817B-1F0FB159CD2F,,
177,750818_8722 20 ,,
178,TCGA-DX-AB3A-01Z-00-DX1.1AD7742A-DFB9-4898-8598-2A99B03C4A7A,,
179,4567206215_1290_20_1,,
180,TCGA-WK-A8XO-01Z-00-DX5.45E4CD45-C8B2-4686-861C-5E7264FBA983,,
181,TCGA-FX-A2QS-01Z-00-DX1.1C5D6E33-BDFD-48A1-9552-0013393F2EAC,,
182,TCGA-DX-A1KY-01Z-00-DX1.0523F0DD-BDCB-479B-836E-CCAB52D051F0,,
183,TCGA-WK-A8XQ-01Z-00-DX5.8854940D-4B20-4241-B9FD-4F7D1C109D8F,,
184,742405_1629 20_10,,
185,TCGA-DX-AB2G-01Z-00-DX2.163DEDDF-91EC-43F3-AD0A-BD4F585FAB7A,,
186,4567206215_1290_20_4,,
187,TCGA-DX-A1L0-01Z-00-DX1.4FA1C23F-8118-4BE4-842A-C7B0C57C9876,,
188,742405_1629 20_8,,
189,742405_1629 20_2,,
190,TCGA-DX-A7EI-01Z-00-DX4.7AD7DC7F-0192-407B-B94D-83E398E88AF9,,
191,745521_3960_20_9,,
192,737695_588 20_8,,
193,TCGA-DX-A7ES-01Z-00-DX1.8218255F-C439-41CB-B25B-F177D19BAF28,,
194,732812_LP_3_587 20_14 ,,
195,TCGA-DX-A3LY-01Z-00-DX1.9F133C2C-AFFA-4A13-AA2B-BB4824FFAD61,,
196,737695_588 20_5,,
197,TCGA-DX-A3U6-01Z-00-DX1.ACF0D3DB-CB03-463D-B3BB-3F513A9E60C6,,
198,TCGA-DX-A1L4-01Z-00-DX1.771F338F-94D2-432F-A35D-6B72852BC245,,
199,737695_588 20_9,,
200,742405_1629 20_13,,
201,TCGA-3B-A9HJ-01Z-00-DX1.69A75A26-AE30-45BC-AD0E-35CEB9377DD0,,
202,TCGA-DX-A3LW-01Z-00-DX1.0C50FA3C-7A1E-4D34-BC48-B134C6220356,,
203,745521_3960_20_1,,
204,741797_4182 20 - 2020-12-01.12,,
205,745521_3960_20_3,,
206,TCGA-DX-AB2H-01Z-00-DX2.6A7675DD-2EC1-4E07-ADB8-05F98E32658D,,
207,745521_3960_20_10,,
208,C3L-05023-26,,
